Brand,Review,Sentiments,Polarity
puma,"First of all I am a huge Puma fan. I have a narrow-ish foot, but not too narrow that I would wear an actual narrow width shoe. Puma running shoes tend to fit me better than most brands so I always go back to them. I have really enjoyed the Ignite cushioning the last few years and the Hybrid cushioning is a superb evolution to that.
The Pros: these are definitely a legit running shoe. They have the right amount of support and massive amounts of cushioning. And the all rubber sole on the entire mid-forefoot is a nice touch. I thought the copious amounts of rubber would affect the flexibility or balance of the shoe and I think if anything they complement it. The Hybrid cushioning is really the star here. The upper with the Netfit feels ventilated and supportive. I don’t think someone with a thick or wide foot would find these a good fit, but a n average to narrow foot would probably find these will fit perfect. The heel to toe transition is smooth and relaxed. The colors are attractive and the shoe simply looks good with gym clothes or athleisure.",Positive,0.246428571
,,,
puma,"Too small in the toebox. The cushioning was super comfortable, but no room for my big toe. I have speed 500s that are a sock like upper and allow for that.",Positive,0.096666667
,,,
puma,"I wasn't looking to actually purchase a new pair of shoes but when I discovered the price it was hard not to buy them! The color is absolutely awesome! The Nrgy Red is very bright and stands out love the color! The feel is absolutely awesome one of if not the best shoes I have ever owned! It is a hybrid type shoe which crosses Puma's ignite foam with the white nrgy beads give you an awesome bouncy support while this sounds strange but gives you a quicker forward momentum! And the Netfit gives you plenty of support not to tight, just enough to hug your foot which feels awesome! I highly recommend these shoes 100% satisfaction! I would be glad to answer any questions about them as well! Thank you and hope the review helps! Thank you for reading! Tyler F.",Positive,0.380948561
,,,
puma,"I love these. I'm a woman and usually wear about an 8 in women's. My feet are obviously expanding in my mid-30s. All my old athletic shoes were way too tight. So I was in the market for a new pair. I found some pretty women's shoes, but these really caught my eye. I bough the smallest size and they are super comfortable. I love the design and I'm completely happy with my purchase",Positive,0.232593795
,,,
puma,"These shoes are incredibly comfortable. As an ER nurse I log a ton of steps over 12 hours, and these beauties are now my go-to. I lost count of the number of compliments I got on them.",Positive,0.4
,,,
puma,"HUGE flaws in the design of this product. I was happy to buy this product after seeing all the positive reviews but this shoe is just TOO narrow (see image). There's little to no breathing room in the top portion whereas the heel design leaves a little too much room such that it's easy for the heel to slip out when walking. This is the opposite of what I expected out of a casual sneaker since comfort is the main feature that you want out of one, except this is the opposite since the toe area is too tight and the heel area is too loose. That's not even the biggest issue. I don't know if this happened with other people's shoes but my right shoe came with the SOLE FOLDED IN HALF AND THE TOE PART OF THE SOLE GLUED UNDERNEATH THE REST OF THE SOLE (see image). I tried unfolding it but it just made it loose and now there is also a bump in the sole in the toe area, making the right shoe impossible to wear comfortably. Last of all, the package and shoe came a day LATE without warning and I was wondering why, but I realized it must be because the items were DAMAGED and repackaged during the initial delivery, according to the box (see image). I am super disappointed in this product, especially with all the other positive reviews (which could be fake bots). I already scheduled to return this item.",Neutral,0.006119662
,,,
puma,"Nice shoe. Seems to be quality leather.
As others have recommended, I’d also suggest going up a half size. I went back and forth, and ordered my typical size, and yes indeed, they were narrow. They fit like a soccer shoe. The length seemed typical and the leather is of a quality that suggests they will stretch and break in nicely, but I think the slim width would still leave a squeeze in the toe box. I exchanged for a half size larger and that worked, without having a fit that was too long. If your feet are of average width, that may also be the ticket for you, but if you have wider than average feet, this shoe is probably not for you.",Positive,0.055952381
,,,
puma,"Cracking well made trainer, a little undersize but still great.",Positive,0.30625
,,,
puma,"My husband has had several pairs of these the past few years, all bought through Amazon. They fit well, and my husband stressed how comfortable they are. He hinted the other day that he’d like another pair in black. The nice thing about these is that they can carry over from work to casual day wear, even going with stuff when you want to dress it up a little. The price is decent too, and they don’t really go out of style. They do eventually wear out, though, but my husband wore them incessantly, from work to hanging out to holidays so for the price that’s to be expected over time and constant wear. ",Neutral,0.046875
,,,
puma,"I ordered my usual size but this pair gives my foot a strange feel. The heel and foot section fits well but is a bit tight across the toes. This is unlike my other Pumas that I wear regularly of the same size. Also, there is no extra room in the length like my other sneakers or athletic shoes that I own of same size. I could easily have ordered a half-size larger. Other than the tighter fit, I have no other complaint.",Neutral,-0.00702381
,,,
puma,Attentation to anyone wish to buy this item thinking its genuine.they are fake puma.plus if you buy them outside us you ending up paying all the import fees for something not even genuine.what .....a great reglet!!so dissapointed i cant wait to send them back!,Positive,0.075
,,,
